"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jan 09 17:27:38 IST 2024","Tue Jan 09 17:29:49 IST 2024","131273","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_003_inputPartialPartNumber","Test_003  input Partial Part Number ","Test Description:verify input Partial Part Number "
"broken","Tue Jan 09 17:32:33 IST 2024","Tue Jan 09 17:34:36 IST 2024","123363","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_005_verifySearchPartDescription","Test_005 verify Search Part Description ","Test Description:  verify Search Part Description  "
"broken","Tue Jan 09 17:38:51 IST 2024","Tue Jan 09 17:38:51 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","afterMethodTakeScreenShot","afterMethodTakeScreenShot",""
"skipped","Tue Jan 09 17:38:51 IST 2024","Tue Jan 09 17:38:51 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_008_verifyRequiredPart","Test_008 verify Required Part  ","Test Description: verify Required Part "
"skipped","Tue Jan 09 17:38:51 IST 2024","Tue Jan 09 17:38:51 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_009_verifyWarehouseText","Test_009 verify Warehouse Text ","Test Description: verify Warehouse Text () "
"passed","Tue Jan 09 17:25:51 IST 2024","Tue Jan 09 17:26:15 IST 2024","24016","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_001_gotoOrderPartsScreen","Test_001 Login to the page and go to Order Part screen ","Test Description:  Login to the page and go to Order Part screen  "
"passed","Tue Jan 09 17:26:15 IST 2024","Tue Jan 09 17:27:37 IST 2024","82030","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_002_clickOnSpotOrder","Test_002 click On The Spot order Tab ","Test Description:   click On The Spot order Tab  "
"broken","Tue Jan 09 17:36:48 IST 2024","Tue Jan 09 17:38:51 IST 2024","123173","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_007_verifyPO","Test_007 verify PO  ","Test Description: verify PO "
"broken","Tue Jan 09 17:29:49 IST 2024","Tue Jan 09 17:32:32 IST 2024","163616","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_004_clickOnAddButton","Test_004 click On Add Button ","Test Description:  click On Add Button "
"failed","Tue Jan 09 17:34:36 IST 2024","Tue Jan 09 17:36:47 IST 2024","131430","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_006_inputCoreParentPart","Test_006 input Core Parent Part and sign out  ","Test Description: input Core Parent Part and sign out "
